code,name,category,description,status,condition
E419,Гхатти камедь,Стабилизаторы,"Гхатти камедь (Gum ghatti). Загуститель, стабилизатор, желирующий агент. Халяль.",halal,
E420,Сорбит,Стабилизаторы,"Сорбит и сорбитовый сироп (Sorbitol and sorbitol syrup). Подсластитель, влагоудерживающий агент, комплексообразователь, текстуратор, эмульгатор. Халяль.",halal,
E421,Маннит,Стабилизаторы,"Маннит (Manmtol). Подсластитель, добавка, препятствующая слеживанию и комкованию. Халяль.",halal,
E422,Глицерин,Стабилизаторы,"Глицерин (Glycerol). Влагоудерживающий агент, загуститель. Сомнительное. Может быть произведен из животного сырья.",suspicious,
E425,Конжак,Стабилизаторы,"Конжак (Конжаковая мука (Konjac, Konjac flour), Конжаковая камедь (Konjac gum), Конжаковый глюкоманнан (Konjac glucomannane). Загуститель. Халяль.",halal,
E430,Полиоксиэтилен (8) стеарат,Стабилизаторы,"Полиоксиэтилен (8) стеарат (Polyoxyethylene (8) stearate). Эмульгатор. Халяль.",halal,
E431,Полиоксиэтилен (40) стеарат,Стабилизаторы,"Полиоксиэтилен (40) стеарат Polyoxyethylene (40) stearate). Эмульгатор. Халяль.",halal,
E432,Полиоксиэтилен (20) сорбитан монолаурат,Стабилизаторы,"Полиоксиэтилен (20) сорбитан монолаурат, Твин 20 (Polyoxyethylene (20) sorbitan monolaurate). Эмульгатор. Халяль.",halal,
E433,Полиоксиэтилен (20) сорбитан моноолеат,Стабилизаторы,"Полиоксиэтилен (20) сорбитан моноолеат, Твин 80 (Polyoxyethylene (20) sorbitan monooleate. Эмульгатор. Халяль.",halal,
E434,Полиоксиэтилен (20) сорбитан монопальмитат,Стабилизаторы,"Полиоксиэтилен (20) сорбитан монопальмитат, Твин 40 (Polyoxyethylene (20) sorbitan monopalmitate)",undefined,
E435,Полиоксиэтилен (20) сорбитан моностеарат,Стабилизаторы,"Полиоксиэтилен (20) сорбитан моностеарат, Твин 60 (Polyoxyethylene (20) sorbitan monostearate)",halal,
E436,Полиоксиэтилен (20) сорбитан три-стеарат,Стабилизаторы,"Полиоксиэтилен (20) сорбитан три-стеарат (Polyoxyethylene (20) sorbitan tristearate)",halal,
E440,Пектины,Стабилизаторы,"Пектины (Pectins)",halal,
E441,Желатин,Стабилизаторы,"Желатин (Gelatin)",haram,
