Code;Name;Category;Description;Status
E402;;Стабилизаторы;Альгинат калия (Potassium alginate). Загуститель, стабиллизатор. Халяль.;Халяль
E403;;Стабилизаторы;Альгинат аммония (Ammonium alginate). Загуститель, стаббилизатор. Халяль.;Халяль
E404;;Стабилизаторы;Альгинат кальция (Calcium alginate). Загуститель, стабиллизатор, пеногаситель. Халяль.;Халяль
E405;;Стабилизаторы;Пропиленгликольальгинат (Propylene glycol alginate). Заггуститель, эмульгатор. Халяль.;Халяль
E406;;Стабилизаторы;Агар (Agar). Загуститель, стабилизатор, желирующий агент. Халяль.;Халяль
E407;;Стабилизаторы;Каррагинан и его натриевая, калиевая, аммонийная соли, включая фурцеллеран (Carrageenan and its Na, К, NH4 salts inclu- udes furcellaran). Загуститель, стабилизатор, желирующий агент. Халяль. Е407а - Каррагинан из водорослей Euchema (Carrageenan pes- Processed euchema seaweed). Загуститель, стабилизатор, желиррующий агент. Халяль.;Халяль
E409;;Стабилизаторы;Арабиногалактан (Arabinogalactan). Загуститель, стабиллизатор, желирующий агент. Халяль.;Халяль
E410;;Стабилизаторы;Камедь рожкового дерева (Carob bean gum). Загуститель, стабилизатор. Халяль.;Халяль
E411;;Стабилизаторы;Овсяная камедь (Oat gum). Загуститель, стабилизатор. Халяль.;Халяль
E412;;Стабилизаторы;Гуаровая камедь (Guar gum). Загуститель, стабилизатор. Халяль.;Халяль
E413;;Стабилизаторы;Трагакант камедь (Tragacanth gum). Загуститель, стабиллизатор, эмульгатор. Халяль.;Халяль
E414;;Стабилизаторы;Гуммиарабик (Gum arabic, Acacia gum). Загуститель, стаббилизатор. Халяль.;Халяль
E415;;Стабилизаторы;Ксантановая камедь (Xantan gum). Загуститель, стабилиззатор. Халяль.;Халяль
E416;;Стабилизаторы;Карайи камедь (Karaya gum). Загуститель, стабилизатор. Халяль.;Халяль
E417;;Стабилизаторы;Тары камедь (Таrа gum). Загуститель, стабилизатор. Халляль.;Не определено
E418;;Стабилизаторы;Геллановая камедь (Gellan gum). Загуститель, стабилизаттор, желирующий агент. Халяль.;Халяль
